    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     4:05 /sbin/init
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      6 ?        I<     0:00 [kworker/0:0H-kblockd]
      9 ?        I<     0:00 [mm_percpu_wq]
     10 ?        S      0:07 [ksoftirqd/0]
     11 ?        I      5:47 [rcu_sched]
     12 ?        S      0:03 [migration/0]
     13 ?        S      0:00 [idle_inject/0]
     14 ?        S      0:00 [cpuhp/0]
     15 ?        S      0:00 [cpuhp/1]
     16 ?        S      0:00 [idle_inject/1]
     17 ?        S      0:03 [migration/1]
     18 ?        S      0:06 [ksoftirqd/1]
     20 ?        I<     0:00 [kworker/1:0H-kblockd]
     21 ?        S      0:00 [cpuhp/2]
     22 ?        S      0:00 [idle_inject/2]
     23 ?        S      0:04 [migration/2]
     24 ?        S      0:03 [ksoftirqd/2]
     26 ?        I<     0:00 [kworker/2:0H-kblockd]
     27 ?        S      0:00 [cpuhp/3]
     28 ?        S      0:00 [idle_inject/3]
     29 ?        S      0:03 [migration/3]
     30 ?        S      0:02 [ksoftirqd/3]
     32 ?        I<     0:00 [kworker/3:0H-kblockd]
     33 ?        S      0:00 [kdevtmpfs]
     34 ?        I<     0:00 [netns]
     35 ?        S      0:00 [rcu_tasks_kthre]
     36 ?        S      0:00 [kauditd]
     37 ?        S      0:01 [khungtaskd]
     38 ?        S      0:00 [oom_reaper]
     39 ?        I<     0:00 [writeback]
     40 ?        S      0:00 [kcompactd0]
     41 ?        SN     0:00 [ksmd]
     42 ?        SN     0:09 [khugepaged]
     89 ?        I<     0:00 [kintegrityd]
     90 ?        I<     0:00 [kblockd]
     91 ?        I<     0:00 [blkcg_punt_bio]
     94 ?        I<     0:00 [tpm_dev_wq]
     95 ?        I<     0:00 [ata_sff]
     96 ?        I<     0:00 [md]
     97 ?        I<     0:00 [edac-poller]
     98 ?        I<     0:00 [devfreq_wq]
     99 ?        S      0:00 [watchdogd]
    102 ?        S      0:21 [kswapd0]
    103 ?        S      0:00 [ecryptfs-kthrea]
    105 ?        I<     0:00 [kthrotld]
    106 ?        S      0:00 [irq/120-aerdrv]
    107 ?        S      0:00 [irq/121-aerdrv]
    108 ?        S      0:15 [irq/122-aerdrv]
    109 ?        S      0:00 [irq/123-aerdrv]
    110 ?        S      0:00 [irq/123-pciehp]
    111 ?        I<     0:00 [acpi_thermal_pm]
    113 ?        I<     0:00 [vfio-irqfd-clea]
    116 ?        I<     0:00 [ipv6_addrconf]
    125 ?        I<     0:00 [kstrp]
    128 ?        I<     0:17 [kworker/u9:0-rb_allocator]
    143 ?        I<     0:00 [charger_manager]
    198 ?        S      0:00 [scsi_eh_0]
    199 ?        I<     0:00 [scsi_tmf_0]
    201 ?        S      0:00 [scsi_eh_1]
    202 ?        I<     0:00 [scsi_tmf_1]
    203 ?        S      0:00 [scsi_eh_2]
    204 ?        I<     0:00 [scsi_tmf_2]
    215 ?        I<     0:33 [kworker/0:1H-events_highpri]
    236 ?        S      1:33 [jbd2/sda3-8]
    237 ?        I<     0:00 [ext4-rsv-conver]
    279 ?        S<s    9:50 /lib/systemd/systemd-journald
    315 ?        S<     0:00 [loop0]
    317 ?        S<     0:00 [loop1]
    319 ?        S<     0:02 [loop2]
    323 ?        S<     0:00 [loop4]
    325 ?        S<     0:00 [loop5]
    327 ?        S<     0:00 [loop6]
    329 ?        S<     0:00 [loop7]
    331 ?        S<     0:00 [loop8]
